Wavelength_nm	 Transmittance
287.74	 3.18564425282
288.09	 3.62068975317
288.43	 4.06069908249
288.77	 4.50384283879
289.11	 4.94917211403
289.46	 5.39696275713
289.8	 5.84897564538
290.14	 6.30828286017
290.49	 6.77882532995
290.83	 7.26487823918
291.17	 7.77038008266
291.51	 8.29834022105
291.86	 8.85077999413
292.2	 9.42931348353
292.54	 10.0360741449
292.88	 10.674686597
293.23	 11.3510290727
293.57	 12.0734760646
293.91	 12.8524307861
294.26	 13.6992026763
294.6	 14.6244346792
294.94	 15.6364260425
295.28	 16.739769823
295.63	 17.9345594086
295.97	 19.2162304294
296.31	 20.5760358157
296.65	 22.002037994
297.0	 23.4804139122
297.34	 24.9969513782
297.68	 26.538607894
298.02	 28.0947383497
298.37	 29.6575043911
298.71	 31.2213493293
299.05	 32.7818742415
299.39	 34.3346206172
299.74	 35.8741936399
300.08	 37.3939362788
300.42	 38.8861035665
300.77	 40.3423834377
301.11	 41.7546392596
301.45	 43.1156969762
301.79	 44.4199497651
302.14	 45.6637393325
302.48	 46.8456678866
302.82	 47.966881022
303.16	 49.031140588
303.5	 50.0444921255
303.85	 51.0145666913
304.19	 51.9498092167
304.53	 52.8588514044
304.87	 53.7499927147
305.22	 54.630732165
305.56	 55.5073661275
305.9	 56.3846074403
306.24	 57.2652028235
306.59	 58.1496570212
306.93	 59.036190941
307.27	 59.9210315749
307.61	 60.7990923029
307.96	 61.6648500271
308.3	 62.5129461806
308.64	 63.3382010278
308.98	 64.1352423087
309.33	 64.89823379
309.67	 65.6209901102
310.01	 66.2973972944
310.35	 66.9218808134
310.69	 67.4896945416
311.04	 67.9969804555
311.38	 68.4407814984
311.72	 68.8192158419
312.06	 69.1317563988
312.41	 69.3793298846
312.75	 69.5640606405
313.09	 69.6888125096
313.43	 69.7568505089
313.77	 69.7718195132
314.12	 69.7379760318
314.46	 69.6603939719
314.8	 69.5449417194
315.14	 69.3982218051
315.48	 69.2278612577
315.83	 69.0432291567
316.17	 68.8562372225
316.51	 68.6817581073
316.85	 68.5373246583
317.2	 68.4419728952
317.54	 68.4142801724
317.88	 68.469844578
318.22	 68.6188738359
318.56	 68.8649847964
318.91	 69.2057815099
319.25	 69.634455955
319.59	 70.1412149906
319.93	 70.7141533298
320.27	 71.3399358586
320.62	 72.0045742697
320.96	 72.6941550435
321.3	 73.3953025741
321.64	 74.0954747415
321.98	 74.783346448
322.33	 75.4493422908
322.67	 76.0861546096
323.01	 76.6890659541
323.35	 77.2560531275
323.69	 77.7877812807
324.04	 78.2874772669
324.38	 78.7604242229
324.72	 79.2128587597
325.06	 79.6504495065
325.4	 80.0768943394
325.74	 80.4931511804
326.09	 80.897416945
326.43	 81.2855378182
326.77	 81.6514667381
327.11	 81.9876426547
327.45	 82.2853977241
327.8	 82.5355142814
328.14	 82.7289419944
328.48	 82.8576049906
328.82	 82.9151830993
329.16	 82.8977085936
329.5	 82.8038578955
329.85	 82.6349263584
330.19	 82.3945523546
330.53	 82.0882864486
330.87	 81.7230809155
331.21	 81.3067349275
331.55	 80.8473668156
331.9	 80.3530583252
332.24	 79.831763769
332.58	 79.2914039576
332.92	 78.7399996918
333.26	 78.1858295886
333.6	 77.6376816393
333.95	 77.1051539896
334.29	 76.5988197985
334.63	 76.1300801768
334.97	 75.7106900814
335.31	 75.3521323107
335.65	 75.0650305238
336.0	 74.858599977
336.34	 74.7400333247
336.68	 74.7139172544
337.02	 74.7819348505
337.36	 74.942837701
337.7	 75.1923583672
338.04	 75.5229642034
338.39	 75.9237992925
338.73	 76.381132571
339.07	 76.8791962694
339.41	 77.4010457695
339.75	 77.9292405735
